City1,City2,Passenger_Trips,Aircraft_Trips,Passenger_Load_Factor,Distance_GC_(km),RPKs,ASKs,Seats,Year,Month_num,dep latitude,dep longitude,arr latitude,arr longitude,haul
ADELAIDE,PORT LINCOLN,0,0,0,246,0,0,0,2020,July,-34.928661,138.598633,-34.72625,135.87442,below 1k
ADELAIDE,PORT LINCOLN,0,0,0,246,0,0,0,2020,August,-34.928661,138.598633,-34.72625,135.87442,below 1k
ADELAIDE,PORT LINCOLN,0,0,0,246,0,0,0,2020,September,-34.928661,138.598633,-34.72625,135.87442,below 1k
ADELAIDE,PORT LINCOLN,9137,293,83.1,246,2247702,2704278,10993,2020,October,-34.928661,138.598633,-34.72625,135.87442,below 1k
ADELAIDE,PORT LINCOLN,0,0,0,246,0,0,0,2020,November,-34.928661,138.598633,-34.72625,135.87442,below 1k
ADELAIDE,PORT LINCOLN,9286,346,67.5,246,2284356,3382254,13749,2020,December,-34.928661,138.598633,-34.72625,135.87442,below 1k
ADELAIDE,SYDNEY,158122,1162,80.9,1167,184528374,228072645,195435,2019,January,-34.928661,138.598633,-33.861481,151.205475,1k-2k
ADELAIDE,SYDNEY,142286,1057,81,1167,166047762,204918198,175594,2019,February,-34.928661,138.598633,-33.861481,151.205475,1k-2k
ADELAIDE,SYDNEY,166592,1192,84.7,1167,194412864,229590912,196736,2019,March,-34.928661,138.598633,-33.861481,151.205475,1k-2k
ADELAIDE,SYDNEY,163623,1119,84.8,1167,190948041,225227499,192997,2019,April,-34.928661,138.598633,-33.861481,151.205475,1k-2k
ADELAIDE,SYDNEY,146791,1078,80.4,1167,171305097,212964663,182489,2019,May,-34.928661,138.598633,-33.861481,151.205475,1k-2k
